date,arena,age_group,home,away,parallel_slot
2027-02-14,Jarhallen,U10,Ringerike 2,Holmen 1,2
2027-02-14,Jarhallen,U10,Kongsberg 1,Sandefjord 1,0
2027-03-06,Jarhallen,U11,Jar 5,Jutul 1,0
2027-03-06,Jarhallen,U11,Frisk Asker 3,Holmen 1,1
2027-03-06,Jarhallen,U11,Ringerike 2,Sandefjord 1,0
2027-03-06,Jarhallen,U11,Holmen 1,Jar 5,0
2027-03-06,Jarhallen,U11,Sandefjord 1,Jutul 1,1
2027-03-06,Jarhallen,U11,Ringerike 2,Frisk Asker 3,0
2027-03-06,Jarhallen,U11,Jar 5,Sandefjord 1,0
2027-03-06,Jarhallen,U11,Holmen 1,Ringerike 2,1
2027-03-06,Jarhallen,U11,Jutul 1,Frisk Asker 3,0
2027-03-06,Jarhallen,U11,Ringerike 2,Jar 5,0
2027-03-06,Jarhallen,U11,Frisk Asker 3,Sandefjord 1,1
2027-03-06,Jarhallen,U11,Jutul 1,Holmen 1,0
2027-03-06,Jarhallen,U11,Jar 5,Frisk Asker 3,0
2027-03-06,Jarhallen,U11,Ringerike 2,Jutul 1,1
2027-03-06,Jarhallen,U11,Sandefjord 1,Holmen 1,0
2027-03-14,Jarhallen,U10,Jar 6,Holmen 1,0
2027-03-14,Jarhallen,U10,Frisk Asker 1,Tønsberg 1,1
2027-03-14,Jarhallen,U10,Ringerike 2,Jutul 1,2
2027-03-14,Jarhallen,U10,Kongsberg 1,Skien 1,0
2027-03-14,Jarhallen,U10,Tønsberg 1,Jar 6,0
2027-03-14,Jarhallen,U10,Jutul 1,Holmen 1,1
2027-03-14,Jarhallen,U10,Skien 1,Frisk Asker 1,2
2027-03-14,Jarhallen,U10,Kongsberg 1,Ringerike 2,0
2027-03-14,Jarhallen,U10,Jar 6,Jutul 1,0
2027-03-14,Jarhallen,U10,Tønsberg 1,Skien 1,1
2027-03-14,Jarhallen,U10,Holmen 1,Kongsberg 1,2
2027-03-14,Jarhallen,U10,Frisk Asker 1,Ringerike 2,0
2027-03-14,Jarhallen,U10,Skien 1,Jar 6,0
2027-03-14,Jarhallen,U10,Kongsberg 1,Jutul 1,1
2027-03-14,Jarhallen,U10,Ringerike 2,Tønsberg 1,2
2027-03-14,Jarhallen,U10,Frisk Asker 1,Holmen 1,0
2027-03-14,Jarhallen,U10,Jar 6,Kongsberg 1,0
2027-03-14,Jarhallen,U10,Skien 1,Ringerike 2,1
2027-03-14,Jarhallen,U10,Jutul 1,Frisk Asker 1,2
2027-03-14,Jarhallen,U10,Tønsberg 1,Holmen 1,0
2027-03-14,Jarhallen,U10,Ringerike 2,Jar 6,0
2027-03-14,Jarhallen,U10,Frisk Asker 1,Kongsberg 1,1
2027-03-14,Jarhallen,U10,Holmen 1,Skien 1,2
2027-03-14,Jarhallen,U10,Tønsberg 1,Jutul 1,0
2027-03-14,Jarhallen,U10,Jar 6,Frisk Asker 1,0
2027-03-14,Jarhallen,U10,Ringerike 2,Holmen 1,1
2027-03-14,Jarhallen,U10,Kongsberg 1,Tønsberg 1,2
2027-03-14,Jarhallen,U10,Skien 1,Jutul 1,0
2027-04-10,Varner Arena,U11,Jar 1,Sandefjord 1,0
2027-04-10,Varner Arena,U11,Frisk Asker 3,Kongsberg 1,1
2027-04-10,Varner Arena,U11,Tønsberg 1,Ringerike 1,0
2027-04-10,Varner Arena,U11,Kongsberg 1,Jar 1,0
2027-04-10,Varner Arena,U11,Ringerike 1,Sandefjord 1,1
2027-04-10,Varner Arena,U11,Tønsberg 1,Frisk Asker 3,0
2027-04-10,Varner Arena,U11,Jar 1,Ringerike 1,0
2027-04-10,Varner Arena,U11,Kongsberg 1,Tønsberg 1,1
2027-04-10,Varner Arena,U11,Sandefjord 1,Frisk Asker 3,0
2027-04-10,Varner Arena,U11,Tønsberg 1,Jar 1,0
2027-04-10,Varner Arena,U11,Frisk Asker 3,Ringerike 1,1
2027-04-10,Varner Arena,U11,Sandefjord 1,Kongsberg 1,0
2027-04-10,Varner Arena,U11,Jar 1,Frisk Asker 3,0
2027-04-10,Varner Arena,U11,Tønsberg 1,Sandefjord 1,1
2027-04-10,Varner Arena,U11,Ringerike 1,Kongsberg 1,0
2027-04-18,Ringerikshallen,U10,Jar 7,Kongsberg 1,0
2027-04-18,Ringerikshallen,U10,Frisk Asker 2,Sandefjord 1,1
2027-04-18,Ringerikshallen,U10,Ringerike 1,Skien 1,2
2027-04-18,Ringerikshallen,U10,Holmen 1,Jutul 1,0
2027-04-18,Ringerikshallen,U10,Sandefjord 1,Jar 7,0
2027-04-18,Ringerikshallen,U10,Skien 1,Kongsberg 1,1
2027-04-18,Ringerikshallen,U10,Jutul 1,Frisk Asker 2,2
2027-04-18,Ringerikshallen,U10,Holmen 1,Ringerike 1,0
2027-04-18,Ringerikshallen,U10,Jar 7,Skien 1,0
2027-04-18,Ringerikshallen,U10,Sandefjord 1,Jutul 1,1
2027-04-18,Ringerikshallen,U10,Kongsberg 1,Holmen 1,2
2027-04-18,Ringerikshallen,U10,Frisk Asker 2,Ringerike 1,0
2027-04-18,Ringerikshallen,U10,Jutul 1,Jar 7,0
2027-04-18,Ringerikshallen,U10,Holmen 1,Skien 1,1
2027-04-18,Ringerikshallen,U10,Ringerike 1,Sandefjord 1,2
2027-04-18,Ringerikshallen,U10,Frisk Asker 2,Kongsberg 1,0
2027-04-18,Ringerikshallen,U10,Jar 7,Holmen 1,0
2027-04-18,Ringerikshallen,U10,Jutul 1,Ringerike 1,1
2027-04-18,Ringerikshallen,U10,Skien 1,Frisk Asker 2,2
2027-04-18,Ringerikshallen,U10,Sandefjord 1,Kongsberg 1,0
2027-04-18,Ringerikshallen,U10,Ringerike 1,Jar 7,0
2027-04-18,Ringerikshallen,U10,Frisk Asker 2,Holmen 1,1
2027-04-18,Ringerikshallen,U10,Kongsberg 1,Jutul 1,2
2027-04-18,Ringerikshallen,U10,Sandefjord 1,Skien 1,0
2027-04-18,Ringerikshallen,U10,Jar 7,Frisk Asker 2,0
2027-04-18,Ringerikshallen,U10,Ringerike 1,Kongsberg 1,1
2027-04-18,Ringerikshallen,U10,Holmen 1,Sandefjord 1,2
2027-04-18,Ringerikshallen,U10,Jutul 1,Skien 1,0
